,grapheme,label,grapheme_root,vowel_diacritic,consonant_diacritic
0,ক্ট্রো,0,15,9,5
1,হ,1,159,0,0
2,খ্রী,2,22,3,5
3,র্টি,3,53,2,2
4,থ্রো,4,71,9,5
5,স্পো,5,153,9,0
6,ঞ্জি,6,52,2,0
7,ষী,7,139,3,0
8,ত্থ,8,67,0,0
9,তেঁ,9,64,7,1
10,র্মা,10,115,1,2
11,র্ব্য,11,107,0,3
12,র্দ্দা,12,74,1,2
13,প্পা,13,100,1,0
14,ঝু,14,48,4,0
15,র্দি,15,72,2,2
16,র্কী,16,13,3,2
17,ধ্রু,17,79,4,5
18,ব্দী,18,109,3,0
19,গে,19,23,7,0
20,র্ছ,20,42,0,2
21,ণ্টু,21,60,4,0
22,ট্রু,22,53,4,5
23,র্খ,23,22,0,2
24,ষ্ঠ,24,142,0,0
25,ণ্ঠা,25,61,1,0
26,র্সা,26,147,1,2
27,নৈ,27,81,8,0
28,স্কৃ,28,148,6,0
29,হ্ন,29,160,0,0
30,ঢা,30,58,1,0
31,প্না,31,99,1,0
32,ফ্রা,32,103,1,5
33,জ্জ,33,44,0,0
34,ব্দ,34,109,0,0
35,য়্যা,35,167,1,4
36,ম্মে,36,120,7,0
37,ণ্ডী,37,62,3,0
38,স্থে,38,151,7,0
39,ঙ্কি,39,32,2,0
40,গু,40,23,4,0
41,ল্ক,41,125,0,0
42,গ্র,42,23,0,5
43,চ্যূ,43,38,5,4
44,ল্টে,44,127,7,0
45,র্ষি,45,139,2,2
46,গ্ধ,46,24,0,0
47,র্লা,47,124,1,2
48,র্স্থা,48,151,1,2
49,পো,49,96,9,0
50,জ্যা,50,43,1,4
51,ল্লা,51,132,1,0
52,ধে,52,79,7,0
53,বা,53,107,1,0
54,স্ট্রী,54,149,3,5
55,ম্রা,55,115,1,5
56,রূ,56,123,5,0
57,প্রি,57,96,2,5
58,ল্টি,58,127,2,0
59,ট্ট,59,54,0,0
60,র্কি,60,13,2,2
61,ক্ষ্ণৌ,61,19,10,0
62,ক্ষ্ণ,62,19,0,0
63,ন্ত্ব,63,87,0,0
64,ঙ্খা,64,35,1,0
65,ন্টা,65,83,1,0
66,প্ট,66,97,0,0
67,ন্ট্রি,67,83,2,5
68,স্ক্র,68,148,0,5
69,দ্ভূ,69,77,5,0
70,কূ,70,13,5,0
71,দ্ভ্রা,71,77,1,5
72,ড়,72,165,0,0
73,বে,73,107,7,0
74,ন্নে,74,92,7,0
75,শূ,75,133,5,0
76,স্থ,76,151,0,0
77,ম্বা,77,118,1,0
78,ন্ডু,78,85,4,0
79,র্ড,79,56,0,2
80,তৃ,80,64,6,0
81,ন্সে,81,95,7,0
82,শ্বা,82,136,1,0
